;ACP;IQR;count;mean;median;pol;q1;q3;std
152;PROCESSING_ACPS_JUIZ DE FORA;0.0;5464.0;0.03715226939970717;0.0;POLICIES_buy;0.0;0.0;0.18913481508743643
153;PROCESSING_ACPS_JUIZ DE FORA;1.0;5235.0;0.28213944603629415;0.0;POLICIES_rent;0.0;1.0;0.45004086372975866
154;PROCESSING_ACPS_JUIZ DE FORA;1.0;5399.0;0.27301352102241155;0.0;POLICIES_wage;0.0;1.0;0.4455077309782141
155;PROCESSING_ACPS_JUIZ DE FORA;0.0;5474.0;0.1640482279868469;0.0;POLICIES_no_policy;0.0;0.0;0.37031933095805625
156;PROCESSING_ACPS_MACAPA;0.0;5374.0;0.02400446594715296;0.0;POLICIES_buy;0.0;0.0;0.15306290067075343
157;PROCESSING_ACPS_MACAPA;1.0;5586.0;0.2781954887218045;0.0;POLICIES_rent;0.0;1.0;0.4481102082932733
158;PROCESSING_ACPS_MACAPA;1.0;5409.0;0.28508042151968943;0.0;POLICIES_wage;0.0;1.0;0.45145273815300496
159;PROCESSING_ACPS_MACAPA;0.0;5404.0;0.16154700222057736;0.0;POLICIES_no_policy;0.0;0.0;0.3680347378904906
160;PROCESSING_ACPS_NATAL;0.0;5492.0;0.020939548434085943;0.0;POLICIES_buy;0.0;0.0;0.14318199518606559
161;PROCESSING_ACPS_NATAL;1.0;5443.0;0.27429726253904096;0.0;POLICIES_rent;0.0;1.0;0.44615947182888477
162;PROCESSING_ACPS_NATAL;1.0;5424.0;0.28207964601769914;0.0;POLICIES_wage;0.0;1.0;0.4500119101981954
163;PROCESSING_ACPS_NATAL;0.0;5529.0;0.16621450533550372;0.0;POLICIES_no_policy;0.0;0.0;0.37227307658703646
164;PROCESSING_ACPS_PELOTAS - RIO GRANDE;0.0;5410.0;0.027726432532347505;0.0;POLICIES_buy;0.0;0.0;0.16418793339151538
165;PROCESSING_ACPS_PELOTAS - RIO GRANDE;1.0;5371.0;0.2882144851982871;0.0;POLICIES_rent;0.0;1.0;0.4529314470426772
166;PROCESSING_ACPS_PELOTAS - RIO GRANDE;1.0;5323.0;0.29287995491264324;0.0;POLICIES_wage;0.0;1.0;0.45508382406212955
167;PROCESSING_ACPS_PELOTAS - RIO GRANDE;0.0;5467.0;0.1858423266873971;0.0;POLICIES_no_policy;0.0;0.0;0.38897937772947794
168;PROCESSING_ACPS_PETROLINA - JUAZEIRO;0.0;5460.0;0.04139194139194139;0.0;POLICIES_buy;0.0;0.0;0.1991950013924734
